Quote,Author
,
"Let us never know what old age is. Let us know the happiness time brings, not count the years.",Ausonius
,
"Our uniqueness makes us special, makes perception valuable - but it can also make us lonely. This loneliness is different from being 'alone': You can be lonely even surrounded by people. The feeling I'm talking about stems from the sense that we can never fully share the truth of who we are. I experienced this acutely at an early age.",Amy Tan
"Work hard, be kind, and amazing things will happen.",Conan O'Brien
"Age is a case of mind over matter. If you don't mind, it don't matter.",Satchel Paige
,
"There is an amazing power getting to know your inner self and learning how to use it and not fight with the world. If you know what makes you happy, your personality, interests and capabilities, just use them, and everything else flows beautifully.",Juhi Chawla
"Youth is the gift of nature, but age is a work of art.",Stanislaw Jerzy Lec
The secret of a happy marriage is finding the right person. You know they're right if you love to be with them all the time.,Julia Child
"I was given such a great gift. It's a miracle that never stops amazing me and reminding me to give thanks, every day. Having a wife and daughter gives me a lot more purpose. I was much more selfish before, but now I think about what kind of role model I'll be. I just want to be a better man.",Jake Owen
"Being confident is the key to life. Don't be afraid to be you! I'm super different from a lot of kids my age with style and personality, and I'm OK with it. And if you are OK with it, everyone else will be, too. Just be yourself.",Leo Howard
,
"A wedding anniversary is the celebration of love, trust, partnership, tolerance and tenacity. The order varies for any given year.",Paul Sweeney
"May your trails be crooked, winding, lonesome, dangerous, leading to the most amazing view. May your mountains rise into and above the clouds.",Edward Abbey
"I know not age, nor weariness nor defeat.",Rose Kennedy
Life is the art of drawing without an eraser.,John W. Gardner
May you live as long as you wish and love as long as you live.,Robert A. Heinlein
I am just a girl chasing her dreams and having an amazing adventure.,Madeline Stuart
Cherish all your happy moments; they make a fine cushion for old age.,Booth Tarkington
,
"I have seen many storms in my life. Most storms have caught me by surprise, so I had to learn very quickly to look further and understand that I am not capable of controlling the weather, to exercise the art of patience and to respect the fury of nature.",Paulo Coelho
"There is no more lovely, friendly and charming relationship, communion or company than a good marriage.",Martin Luther
"We don't even know how strong we are until we are forced to bring that hidden strength forward. In times of tragedy, of war, of necessity, people do amazing things. The human capacity for survival and renewal is awesome.",Isabel Allende
"Do not go gentle into that good night but rage, rage against the dying of the light.",Dylan Thomas
Love yourself. It is important to stay positive because beauty comes from the inside out.,Jenn Proske
The art of communication is the language of leadership.,James Humes
"Chains do not hold a marriage together. It is threads, hundreds of tiny threads, which sew people together through the years.",Simone Signoret
"When you have confidence, you can have a lot of fun. And when you have fun, you can do amazing things.",Joe Namath
"Age is something that doesn't matter, unless you are a cheese.",Luis Bunuel
,
"Peace is the beauty of life. It is sunshine. It is the smile of a child, the love of a mother, the joy of a father, the togetherness of a family. It is the advancement of man, the victory of a just cause, the triumph of truth.",Menachem Begin
"Art, freedom and creativity will change society faster than politics.",Victor Pinchuk
"Love grows more tremendously full, swift, poignant, as the years multiply.",Zane Grey
