Company_name,booth,address,city_zip,categories
A & J Designs Unlimited,1413,5512 Earle Road,"Raleigh, NC 27606","Gifts and Gadgets (Cash and Carry, Direct Sell Products)"
Closets by Design,624,3811 Tarheel Dr #109,"Raleigh, NC 27609","Closet, Organization, Storage, Moving"
Click Heat,936,,,"Gifts and Gadgets (Cash and Carry, Direct Sell Products)"
CPI Security,800,5150 McCrimmon Parkway,"Morrisville, NC 27608","Home Entertainment, Electronics, Security"
CityRock Countertops,805,10310 Moncreiffe Rd.,"Raleigh, NC 27617","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Culligan Water of the Triangle,95,816 Hardee Street,"Durham, NC 27703","Appliances, Water Systems, Household Products"
Click Heat,1206,PO Box 55061,"Norfolk, VA 23505","Gifts and Gadgets (Cash and Carry, Direct Sell Products)"
Clear Choice Water Solutions,401,1605 Doc Nichols Road,"Durham, NC 27703","Appliances, Water Systems, Household Products"
Concrete Craft of Southern Raleigh,907,2500 Regency Pw,"Cary, NC 27518","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
"Champion Windows, Sunrooms & Home Exteriors",1219,300 Dominion Drive,"Morrisville, NC 27560","Windows, Window Coverings, Screens, Doors"
Choice Pool & Spa,1045,10016 Capital Blvd.,"Wake Forest, NC 27587","Recreation, Pool and Spa, Health and Wellness, Fitness"
"Champion Windows, Sunrooms & Home Exteriors",1219,"300 Dominion Drive, Suite 201","Morrisville, NC 27560","Garden, Decks, Patios, Landscape, Outdoors"
"Champion Windows, Sunrooms & Home Exteriors",1219,300 Dominion Drive,"Morrisville, NC 27560","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
"Champion Windows, Sunrooms & Home Exteriors",1219,300 Dominion Drive,"Morrisville, NC 27560","Home Exteriors, Gutters, Siding, Roofing"
Yellow Dot Heating & Air,1340,1203 N. New Hope Rd.,"Raleigh, NC 27610","Heating, Air Conditioning, Ventilation"
Wood Wise Design & Remodeling,825,3121 Glen Royal Road,"Raleigh, NC","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Central Vacuum Experts,1108,300 S. Elliott Rd.,"Chapel Hill, NC 27514","Appliances, Water Systems, Household Products"
Westgate Resorts,712,,,"Vacation, Travel, Rentals, Timeshare"
Carolina Yard Barns,441,823A Purser Drive,"Raleigh, NC 27603","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Vita-Mix Corporation,537,,"Cleveland , OH","Appliances, Water Systems, Household Products"
